Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color
Certified,IF,7.93,3.69,5.63,65.5,LabGrown,1.41,IGI,EXCELLENT,396.88,EXCELLENT,DIAP,RADIANT,1.41,EXCELLENT,E
Certified,VS1,7.14,4.47,7.18,62.4,LabGrown,1.41,IGI,EXCELLENT,327.37,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VS1,6.2,4.13,6.15,67.2,LabGrown,1.41,IGI,EXCELLENT,333.13,EXCELLENT,DIAP,ASSCHER,1.01,EXCELLENT,D
Certified,VS1,7.74,4.06,5.95,68.2,LabGrown,1.41,IGI,EXCELLENT,280.99,EXCELLENT,DIAP,CUSHION,1.3,EXCELLENT,E
Certified,VS1,11.37,3.69,5.83,63.3,LabGrown,1.41,IGI,EXCELLENT,289.68,EXCELLENT,DIAP,MARQUISE,1.95,EXCELLENT,E
Certified,VS1,9.08,3.9,6.45,60.5,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,OVAL,1.41,EXCELLENT,F
Certified,VS1,7.25,4.38,7.27,60.4,LabGrown,1.41,IGI,EXCELLENT,385.27,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VVS2,9.33,3.8,6.47,58.7,LabGrown,1.41,IGI,EXCELLENT,295.47,EXCELLENT,DIAP,OVAL,1.44,EXCELLENT,F
Certified,VS1,11.57,3.63,5.8,62.6,LabGrown,1.41,IGI,EXCELLENT,292.58,EXCELLENT,DIAP,MARQUISE,1.99,EXCELLENT,E
Certified,VS2,7.05,4.46,7.09,63.1,LabGrown,1.41,IGI,EXCELLENT,347.96,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,E
Certified,VS1,7.16,4.45,7.19,62.0,LabGrown,1.41,IGI,EXCELLENT,341.82,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.18,4.42,7.14,61.8,LabGrown,1.41,IGI,EXCELLENT,320.73,EXCELLENT,DIAP,ROUND,1.01,IDEAL,D
Certified,VS1,7.12,4.48,7.08,63.1,LabGrown,1.41,IGI,EXCELLENT,320.73,EXCELLENT,DIAP,ROUND,1.01,EXCELLENT,D
Certified,VS1,7.1,4.47,7.05,63.2,LabGrown,1.41,IGI,EXCELLENT,320.73,EXCELLENT,DIAP,ROUND,1.01,EXCELLENT,D
Certified,VS1,9.85,3.94,6.58,59.9,LabGrown,1.41,GIA,EXCELLENT,664.67,EXCELLENT,DIAP,PEAR,1.5,EXCELLENT,E
Certified,VS1,7.12,4.46,7.14,62.6,LabGrown,1.41,IGI,EXCELLENT,375.51,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,D
Certified,VVS1,6.13,4.03,6.04,66.7,LabGrown,1.41,IGI,EXCELLENT,400.48,EXCELLENT,DIAP,ASSCHER,1.01,EXCELLENT,E
Certified,VS1,7.23,4.31,7.27,59.4,LabGrown,1.41,IGI,EXCELLENT,347.62,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,E
Certified,VS1,6.42,4.12,6.13,67.2,LabGrown,1.41,IGI,EXCELLENT,347.62,EXCELLENT,DIAP,ASSCHER,1.05,EXCELLENT,E
Certified,VS1,7.24,4.44,7.27,61.2,LabGrown,1.41,IGI,EXCELLENT,400.48,EXCELLENT,DIAP,ROUND,1.0,EXCELLENT,E
Certified,VS1,7.12,4.46,7.15,62.4,LabGrown,1.41,IGI,EXCELLENT,312.04,EXCELLENT,DIAP,ROUND,1.0,IDEAL,E
Certified,VS2,10.33,3.75,6.5,57.7,LabGrown,1.41,IGI,EXCELLENT,254.92,EXCELLENT,DIAP,PEAR,1.59,EXCELLENT,E
Certified,VS1,7.11,4.44,7.17,62.3,LabGrown,1.41,IGI,EXCELLENT,350.51,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VVS1,7.29,4.4,7.31,60.2,LabGrown,1.41,IGI,EXCELLENT,457.21,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VVS1,7.85,3.67,5.58,65.8,LabGrown,1.41,IGI,EXCELLENT,317.58,EXCELLENT,DIAP,RADIANT,1.41,EXCELLENT,E
Certified,VVS2,7.15,4.41,7.2,61.5,LabGrown,1.41,IGI,EXCELLENT,315.75,EXCELLENT,DIAP,ROUND,0.99,IDEAL,D
Certified,VS1,7.21,4.39,7.23,60.8,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VS1,7.1,4.46,7.14,62.6,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,0.99,EXCELLENT,D
Certified,VS1,7.1,4.44,7.14,62.3,LabGrown,1.41,IGI,EXCELLENT,301.27,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VS2,7.2,4.37,7.25,60.5,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VS2,7.1,4.45,7.14,62.5,LabGrown,1.41,IGI,EXCELLENT,298.37,EXCELLENT,DIAP,ROUND,0.99,IDEAL,E
Certified,VS1,7.96,3.49,5.31,65.7,LabGrown,1.41,IGI,EXCELLENT,272.3,EXCELLENT,DIAP,EMERALD,1.5,EXCELLENT,E
Certified,VS1,9.15,3.95,6.33,62.4,LabGrown,1.41,IGI,EXCELLENT,304.16,EXCELLENT,DIAP,OVAL,1.45,EXCELLENT,E
Certified,VS1,7.21,4.37,7.24,60.4,LabGrown,1.41,IGI,EXCELLENT,353.18,EXCELLENT,DIAP,ROUND,1.0,IDEAL,D
Certified,VVS2,11.76,3.66,5.78,63.3,LabGrown,1.41,IGI,EXCELLENT,423.29,EXCELLENT,DIAP,MARQUISE,2.03,EXCELLENT,D
