Type,Clarity,Length,Height,Breadth,Depth,Style,Carat,Lab,Polish,Price,Symmetry,Company,Shape,Ratio,Cut,Color,combined_text
certified,vvs2,7.59,3.6,5.12,70.3,labgrown,1.41,igi,excellent,312.85,excellent,diap,emerald,1.48,excellent,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: excellent, Shape: emerald, Price: 312.85, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,6.99,3.93,5.96,65.9,labgrown,1.41,igi,very good,353.41,excellent,diap,cushion,1.17,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: g, Cut: excellent, Shape: cushion, Price: 353.41, Lab: igi, Polish: very good, Symmetry: excellent"
certified,vs1,7.2,4.09,5.95,68.7,labgrown,1.41,igi,excellent,336.03,very good,diap,cushion,1.21,excellent,g,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: g, Cut: excellent, Shape: cushion, Price: 336.03, Lab: igi, Polish: excellent, Symmetry: very good"
certified,vvs2,9.91,3.94,6.34,62.1,labgrown,1.41,igi,excellent,402.65,excellent,diap,pear,1.56,excellent,h,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: h, Cut: excellent, Shape: pear, Price: 402.65, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.39,3.59,5.26,68.3,labgrown,1.41,igi,excellent,307.06,excellent,diap,emerald,1.4,excellent,h,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: h, Cut: excellent, Shape: emerald, Price: 307.06, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,10.13,3.82,6.14,62.2,labgrown,1.41,igi,excellent,333.71,excellent,diap,pear,1.65,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: excellent, Shape: pear, Price: 333.71, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.15,4.44,7.18,61.9,labgrown,1.41,igi,excellent,328.15,excellent,diap,round,1.0,ideal,f,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: f, Cut: ideal, Shape: round, Price: 328.15, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.84,3.51,5.33,65.9,labgrown,1.41,igi,excellent,272.3,excellent,diap,emerald,1.47,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: emerald, Price: 272.3, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.94,3.67,5.56,66.0,labgrown,1.41,igi,excellent,275.2,excellent,diap,radiant,1.43,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: e, Cut: excellent, Shape: radiant, Price: 275.2, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.1,4.45,7.15,62.6,labgrown,1.41,igi,excellent,315.75,excellent,diap,round,0.99,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: d, Cut: excellent, Shape: round, Price: 315.75, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs1,7.08,4.44,7.11,62.5,labgrown,1.41,igi,excellent,344.72,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vvs1, Color: e, Cut: ideal, Shape: round, Price: 344.72, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vvs2,7.12,4.46,7.16,62.5,labgrown,1.41,igi,excellent,307.06,excellent,diap,round,0.99,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vvs2, Color: e, Cut: ideal, Shape: round, Price: 307.06, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs2,7.1,4.44,7.13,62.4,labgrown,1.41,igi,excellent,298.37,excellent,diap,round,1.0,ideal,e,"Style: labgrown, Carat: 1.41, Clarity: vs2, Color: e, Cut: ideal, Shape: round, Price: 298.37, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,if,7.93,3.69,5.63,65.5,labgrown,1.41,igi,excellent,396.88,excellent,diap,radiant,1.41,excellent,e,"Style: labgrown, Carat: 1.41, Clarity: if, Color: e, Cut: excellent, Shape: radiant, Price: 396.88, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,7.14,4.47,7.18,62.4,labgrown,1.41,igi,excellent,327.37,excellent,diap,round,0.99,ideal,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: ideal, Shape: round, Price: 327.37, Lab: igi, Polish: excellent, Symmetry: excellent"
certified,vs1,6.2,4.13,6.15,67.2,labgrown,1.41,igi,excellent,333.13,excellent,diap,asscher,1.01,excellent,d,"Style: labgrown, Carat: 1.41, Clarity: vs1, Color: d, Cut: excellent, Shape: asscher, Price: 333.13, Lab: igi, Polish: excellent, Symmetry: excellent"
